time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,-3,major,Bb,dominant,rest,0,4.0
2/2,1,-3,major,Bb,dominant,F0,4,4.0
2/2,1,-3,major,Bb,dominant,G0,4,4.0
2/2,1,-3,major,Bb,dominant,F0,4,4.0
2/2,2,-3,major,Eb,major,G0,4,8.0
2/2,2,-3,major,Eb,major,F0,4,4.0
2/2,2,-3,major,Eb,major,Eb,4,4.0
2/2,3,-3,major,Bb,dominant,Eb,4,2.0
2/2,3,-3,major,Bb,dominant,rest,0,2.0
2/2,3,-3,major,Bb,dominant,F0,4,4.0
2/2,3,-3,major,Bb,dominant,G0,4,4.0
2/2,3,-3,major,Bb,dominant,F0,4,4.0
2/2,4,-3,major,Eb,major,G0,4,16.0
2/2,5,-3,major,Bb,dominant,rest,0,4.0
2/2,5,-3,major,Bb,dominant,F0,4,4.0
2/2,5,-3,major,Bb,dominant,G0,4,4.0
2/2,5,-3,major,Bb,dominant,F0,4,4.0
2/2,6,-3,major,F0,dominant,G0,4,8.0
2/2,6,-3,major,F0,dominant,F0,4,4.0
2/2,6,-3,major,F0,dominant,Eb,4,4.0
2/2,7,-3,major,Bb,dominant,Eb,4,2.0
2/2,7,-3,major,Bb,dominant,rest,0,2.0
2/2,7,-3,major,Bb,dominant,F0,4,4.0
2/2,7,-3,major,Bb,dominant,G0,4,4.0
2/2,7,-3,major,Bb,dominant,F0,4,4.0
2/2,8,-3,major,Eb,dominant,G0,4,16.0
2/2,9,-3,major,Eb,dominant,rest,0,4.0
2/2,9,-3,major,Eb,dominant,G0,4,4.0
2/2,9,-3,major,Eb,dominant,Ab,4,4.0
2/2,9,-3,major,Eb,dominant,Bb,4,4.0
2/2,10,-3,major,Ab,major,B0,4,8.0
2/2,10,-3,major,Ab,major,C0,5,4.0
2/2,10,-3,major,Ab,major,Eb,5,4.0
2/2,11,-3,major,F0,minor-seventh,rest,0,4.0
2/2,11,-3,major,F0,minor-seventh,F0,4,4.0
2/2,11,-3,major,F0,minor-seventh,G0,4,4.0
2/2,11,-3,major,F0,minor-seventh,Ab,4,4.0
2/2,12,-3,major,F#,diminished,A0,4,8.0
2/2,12,-3,major,F#,diminished,Bb,4,4.0
2/2,12,-3,major,F#,diminished,Eb,5,4.0
2/2,13,-3,major,Bb,dominant,rest,0,4.0
2/2,13,-3,major,Bb,dominant,Eb,4,4.0
2/2,13,-3,major,Bb,dominant,F0,4,4.0
2/2,13,-3,major,Bb,dominant,G0,4,4.0
2/2,14,-3,major,F0,minor-seventh,G0,4,8.0
2/2,14,-3,major,F0,minor-seventh,Ab,4,4.0
2/2,14,-3,major,F0,minor-seventh,Eb,5,4.0
2/2,15,-3,major,F0,minor-seventh,rest,0,4.0
2/2,15,-3,major,F0,minor-seventh,Eb,5,4.0
2/2,15,-3,major,F0,minor-seventh,C0,5,4.0
2/2,15,-3,major,F0,minor-seventh,Ab,4,4.0
2/2,16,-3,major,F0,minor-seventh,F0,4,16.0
2/2,17,-3,major,Bb,dominant,rest,0,4.0
2/2,17,-3,major,Bb,dominant,F0,4,4.0
2/2,17,-3,major,Bb,dominant,G0,4,4.0
2/2,17,-3,major,Bb,dominant,F0,4,4.0
2/2,18,-3,major,Eb,major,G0,4,8.0
2/2,18,-3,major,Eb,major,F0,4,4.0
2/2,18,-3,major,Eb,major,Eb,4,4.0
2/2,19,-3,major,Bb,dominant,Eb,4,2.0
2/2,19,-3,major,Bb,dominant,rest,0,2.0
2/2,19,-3,major,Bb,dominant,F0,4,4.0
2/2,19,-3,major,Bb,dominant,G0,4,4.0
2/2,19,-3,major,Bb,dominant,F0,4,4.0
2/2,20,-3,major,Eb,major,G0,4,16.0
2/2,21,-3,major,Bb,dominant,rest,0,4.0
2/2,21,-3,major,Bb,dominant,F0,4,4.0
2/2,21,-3,major,Bb,dominant,G0,4,4.0
2/2,21,-3,major,Bb,dominant,F0,4,4.0
2/2,22,-3,major,Eb,major,G0,4,8.0
2/2,22,-3,major,Eb,major,F0,4,4.0
2/2,22,-3,major,Eb,major,Eb,4,4.0
2/2,23,-3,major,Bb,dominant,Eb,4,2.0
2/2,23,-3,major,Bb,dominant,rest,0,2.0
2/2,23,-3,major,Bb,dominant,F0,4,4.0
2/2,23,-3,major,Bb,dominant,G0,4,4.0
2/2,23,-3,major,Bb,dominant,F0,4,4.0
2/2,24,-3,major,Eb,dominant,G0,4,16.0
2/2,25,-3,major,Eb,dominant,rest,0,4.0
2/2,25,-3,major,Eb,dominant,G0,4,4.0
2/2,25,-3,major,Eb,dominant,Ab,4,4.0
2/2,25,-3,major,Eb,dominant,Bb,4,4.0
2/2,26,-3,major,Ab,major,B0,4,8.0
2/2,26,-3,major,Ab,major,C0,5,4.0
2/2,26,-3,major,Ab,major,Eb,5,4.0
2/2,27,-3,major,F0,minor-seventh,rest,0,4.0
2/2,27,-3,major,F0,minor-seventh,F0,4,4.0
2/2,27,-3,major,F0,minor-seventh,G0,4,4.0
2/2,27,-3,major,F0,minor-seventh,Ab,4,4.0
2/2,28,-3,major,F#,diminished,A0,4,8.0
2/2,28,-3,major,F#,diminished,Bb,4,4.0
2/2,28,-3,major,F#,diminished,F0,5,4.0
2/2,29,-3,major,C0,minor,rest,0,4.0
2/2,29,-3,major,C0,minor,Eb,5,4.0
2/2,29,-3,major,C0,minor,C0,5,4.0
2/2,29,-3,major,C0,minor,Ab,4,4.0
2/2,30,-3,major,F0,minor-seventh,G0,4,16.0
2/2,31,-3,major,Bb,dominant,F0,4,16.0
2/2,32,-3,major,Eb,major,Eb,4,16.0
