time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-3,major,Eb,major,Bb,4,4.0
3/4,1,-3,major,Eb,major,C0,5,6.0
3/4,1,-3,major,Eb,major,A0,4,2.0
3/4,2,-3,major,Eb,major,Bb,4,4.0
3/4,2,-3,major,Eb,major,C0,5,6.0
3/4,2,-3,major,Eb,major,A0,4,2.0
3/4,3,-3,major,F0,minor-seventh,Bb,4,4.0
3/4,3,-3,major,F0,minor-seventh,C0,5,6.0
3/4,3,-3,major,F0,minor-seventh,A0,4,2.0
3/4,4,-3,major,Bb,dominant,C0,5,4.0
3/4,4,-3,major,Bb,dominant,A0,4,4.0
3/4,4,-3,major,Bb,dominant,Ab,4,4.0
3/4,5,-3,major,Bb,dominant,G0,4,4.0
3/4,5,-3,major,Bb,dominant,Ab,4,6.0
3/4,5,-3,major,Bb,dominant,F#,4,2.0
3/4,6,-3,major,Bb,dominant,G0,4,4.0
3/4,6,-3,major,Bb,dominant,Ab,4,6.0
3/4,6,-3,major,Bb,dominant,F#,4,2.0
3/4,7,-3,major,G0,dominant,G0,4,12.0
3/4,8,-3,major,G0,dominant,G0,4,8.0
3/4,8,-3,major,G0,dominant,rest,0,4.0
3/4,9,-3,major,C0,minor,G0,4,4.0
3/4,9,-3,major,C0,minor,Ab,4,6.0
3/4,9,-3,major,C0,minor,F#,4,2.0
3/4,10,-3,major,C0,minor,G0,4,4.0
3/4,10,-3,major,C0,minor,Ab,4,6.0
3/4,10,-3,major,C0,minor,F#,4,2.0
3/4,11,-3,major,G0,dominant,G0,4,4.0
3/4,11,-3,major,G0,dominant,Ab,4,4.0
3/4,11,-3,major,G0,dominant,F#,4,4.0
3/4,12,-3,major,G0,dominant,G0,4,4.0
3/4,12,-3,major,G0,dominant,Gb,4,4.0
3/4,12,-3,major,G0,dominant,F0,4,4.0
3/4,13,-3,major,C0,minor,Eb,4,4.0
3/4,13,-3,major,C0,minor,F0,4,6.0
3/4,13,-3,major,C0,minor,D0,4,2.0
3/4,14,-3,major,C0,minor,Eb,4,4.0
3/4,14,-3,major,C0,minor,F0,4,6.0
3/4,14,-3,major,C0,minor,D0,4,2.0
3/4,15,-3,major,F0,minor,Eb,4,12.0
3/4,16,-3,major,F0,half-diminished,Eb,4,8.0
3/4,16,-3,major,F0,half-diminished,rest,0,4.0
3/4,17,-3,major,Eb,major,F0,4,4.0
3/4,17,-3,major,Eb,major,D0,4,4.0
3/4,17,-3,major,Eb,major,E0,4,4.0
3/4,18,-3,major,Ab,major,Eb,5,4.0
3/4,18,-3,major,Ab,major,Eb,5,6.0
3/4,18,-3,major,Ab,major,Eb,5,2.0
3/4,19,-3,major,Eb,major,Eb,4,12.0
3/4,20,-3,major,F#,diminished,C0,5,4.0
3/4,20,-3,major,F#,diminished,C0,5,6.0
3/4,20,-3,major,F#,diminished,C0,5,2.0
3/4,21,-3,major,F0,minor-seventh,C0,4,12.0
3/4,22,-3,major,Bb,dominant,C0,4,4.0
3/4,22,-3,major,Bb,dominant,D0,4,6.0
3/4,22,-3,major,Bb,dominant,Eb,4,2.0
3/4,23,-3,major,Eb,major,F0,4,8.0
3/4,23,-3,major,Eb,major,G0,4,4.0
3/4,24,-3,major,Eb,major,G0,4,12.0
3/4,25,-3,major,D0,dominant,A0,4,4.0
3/4,25,-3,major,D0,dominant,F#,4,4.0
3/4,25,-3,major,D0,dominant,G0,4,4.0
3/4,26,-3,major,D0,dominant,D0,5,4.0
3/4,26,-3,major,D0,dominant,D0,5,6.0
3/4,26,-3,major,D0,dominant,D0,5,2.0
3/4,27,-3,major,G0,minor,D0,4,12.0
3/4,28,-3,major,C0,dominant,C0,5,4.0
3/4,28,-3,major,C0,dominant,C0,5,6.0
3/4,28,-3,major,C0,dominant,C0,5,2.0
3/4,29,-3,major,F0,minor-seventh,C0,4,12.0
3/4,30,-3,major,Bb,dominant,C0,4,4.0
3/4,30,-3,major,Bb,dominant,D0,4,4.0
3/4,30,-3,major,Bb,dominant,Eb,4,4.0
3/4,31,-3,major,Bb,diminished,F0,4,4.0
3/4,31,-3,major,Bb,diminished,G0,4,8.0
3/4,32,-3,major,Bb,dominant,Ab,4,4.0
3/4,32,-3,major,Bb,dominant,A0,4,8.0
3/4,33,-3,major,Eb,major,F0,4,4.0
3/4,33,-3,major,Eb,major,D0,4,4.0
3/4,33,-3,major,Eb,major,Eb,4,4.0
3/4,34,-3,major,Eb,diminished,Eb,5,4.0
3/4,34,-3,major,Eb,diminished,Eb,5,6.0
3/4,34,-3,major,Eb,diminished,Eb,5,2.0
3/4,35,-3,major,Ab,minor-sixth,Eb,4,12.0
3/4,36,-3,major,Eb,major,F0,4,4.0
3/4,36,-3,major,Eb,major,D0,4,4.0
3/4,36,-3,major,Eb,major,Eb,4,4.0
3/4,37,-3,major,C0,minor,Eb,5,4.0
3/4,37,-3,major,C0,minor,D0,5,6.0
3/4,37,-3,major,C0,minor,Eb,5,2.0
3/4,38,-3,major,F0,dominant,F0,5,12.0
3/4,39,-3,major,F0,dominant,F0,5,4.0
3/4,39,-3,major,F0,dominant,Eb,5,4.0
3/4,39,-3,major,F0,dominant,D0,5,4.0
3/4,40,-3,major,D0,dominant,Eb,5,4.0
3/4,40,-3,major,D0,dominant,D0,5,4.0
3/4,40,-3,major,D0,dominant,C0,5,4.0
3/4,41,-3,major,E0,major,Bb,4,4.0
3/4,41,-3,major,E0,major,C0,5,6.0
3/4,41,-3,major,E0,major,A0,4,2.0
3/4,42,-3,major,E0,diminished,Bb,4,4.0
3/4,42,-3,major,E0,diminished,C0,5,6.0
3/4,42,-3,major,E0,diminished,G0,4,2.0
3/4,43,-3,major,F0,minor-seventh,Ab,4,4.0
