time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-2,major,[],[],G0,4,4.0
4/4,1,-2,major,[],[],A0,4,4.0
4/4,1,-2,major,[],[],Bb,4,4.0
4/4,2,-2,major,C0,minor-seventh,Eb,5,16.0
4/4,3,-2,major,F0,dominant,Eb,5,4.0
4/4,3,-2,major,F0,dominant,F0,4,4.0
4/4,3,-2,major,F0,dominant,G0,4,4.0
4/4,3,-2,major,F0,dominant,A0,4,4.0
4/4,4,-2,major,Bb,major-seventh,D0,5,8.0
4/4,4,-2,major,Bb,major-seventh,D0,5,8.0
4/4,5,-2,major,Eb,major-seventh,D0,5,4.0
4/4,5,-2,major,Eb,major-seventh,Eb,4,4.0
4/4,5,-2,major,Eb,major-seventh,F0,4,4.0
4/4,5,-2,major,Eb,major-seventh,G0,4,4.0
4/4,6,-2,major,A0,half-diminished,C0,5,16.0
4/4,7,-2,major,D0,dominant,C0,5,4.0
4/4,7,-2,major,D0,dominant,D0,4,4.0
4/4,7,-2,major,D0,dominant,E0,4,4.0
4/4,7,-2,major,D0,dominant,F#,4,4.0
4/4,8,-2,major,G0,minor-sixth,Bb,4,16.0
4/4,9,-2,major,G0,minor-sixth,rest,0,4.0
4/4,9,-2,major,G0,minor-sixth,G0,4,4.0
4/4,9,-2,major,G0,minor-sixth,A0,4,4.0
4/4,9,-2,major,G0,minor-sixth,Bb,4,4.0
4/4,10,-2,major,C0,minor-seventh,Eb,5,16.0
4/4,11,-2,major,F0,dominant,Eb,5,4.0
4/4,11,-2,major,F0,dominant,F0,4,4.0
4/4,11,-2,major,F0,dominant,G0,4,4.0
4/4,11,-2,major,F0,dominant,A0,4,4.0
4/4,12,-2,major,Bb,major-seventh,D0,5,8.0
4/4,12,-2,major,Bb,major-seventh,D0,5,8.0
4/4,13,-2,major,Eb,major-seventh,D0,5,4.0
4/4,13,-2,major,Eb,major-seventh,Eb,4,4.0
4/4,13,-2,major,Eb,major-seventh,F0,4,4.0
4/4,13,-2,major,Eb,major-seventh,G0,4,4.0
4/4,14,-2,major,A0,half-diminished,C0,5,16.0
4/4,15,-2,major,D0,dominant,C0,5,4.0
4/4,15,-2,major,D0,dominant,A0,4,4.0
4/4,15,-2,major,D0,dominant,C0,5,4.0
4/4,15,-2,major,D0,dominant,Bb,4,4.0
4/4,16,-2,major,G0,minor-sixth,G0,4,16.0
4/4,17,-2,major,G0,minor-sixth,rest,0,8.0
4/4,17,-2,major,G0,minor-sixth,F#,4,4.0
4/4,17,-2,major,G0,minor-sixth,G0,4,4.0
4/4,18,-2,major,A0,half-diminished,A0,4,4.0
4/4,18,-2,major,A0,half-diminished,D0,4,4.0
4/4,18,-2,major,A0,half-diminished,A0,4,8.0
4/4,19,-2,major,D0,dominant,A0,4,4.0
4/4,19,-2,major,D0,dominant,A0,4,4.0
4/4,19,-2,major,D0,dominant,G0,4,4.0
4/4,19,-2,major,D0,dominant,A0,4,4.0
4/4,20,-2,major,G0,minor-seventh,Bb,4,16.0
4/4,21,-2,major,G0,minor-seventh,Bb,4,4.0
4/4,21,-2,major,G0,minor-seventh,Bb,4,4.0
4/4,21,-2,major,G0,minor-seventh,A0,4,4.0
4/4,21,-2,major,G0,minor-seventh,Bb,4,4.0
4/4,22,-2,major,C0,minor-seventh,C0,5,16.0
4/4,23,-2,major,F0,dominant,C0,5,4.0
4/4,23,-2,major,F0,dominant,F0,4,4.0
4/4,23,-2,major,F0,dominant,F0,5,4.0
4/4,23,-2,major,F0,dominant,Eb,5,4.0
4/4,24,-2,major,Bb,major-seventh,D0,5,16.0
4/4,25,-2,major,Eb,major-seventh,D0,5,8.0
4/4,25,-2,major,Eb,major-seventh,C#,5,4.0
4/4,25,-2,major,Eb,major-seventh,D0,5,4.0
4/4,26,-2,major,A0,half-diminished,Eb,5,4.0
4/4,26,-2,major,A0,half-diminished,Eb,5,4.0
4/4,26,-2,major,A0,half-diminished,C0,5,4.0
4/4,26,-2,major,A0,half-diminished,C0,5,4.0
4/4,27,-2,major,D0,dominant,A0,4,12.0
4/4,27,-2,major,D0,dominant,Eb,5,4.0
4/4,28,-2,major,G0,minor-seventh,D0,5,8.0
4/4,28,-2,major,G0,minor-seventh,D0,5,8.0
4/4,29,-2,major,F0,minor-seventh,D0,5,8.0
4/4,29,-2,major,F0,minor-seventh,G0,4,8.0
4/4,30,-2,major,Eb,major-seventh,C0,5,12.0
4/4,30,-2,major,Eb,major-seventh,Bb,4,4.0
4/4,31,-2,major,D0,dominant,A0,4,8.0
4/4,31,-2,major,D0,dominant,Bb,4,4.0
4/4,31,-2,major,D0,dominant,D0,4,4.0
4/4,32,-2,major,G0,minor-sixth,G0,4,16.0
4/4,33,-2,major,G0,minor-sixth,rest,0,16.0
