time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,-2,major,Bb,major,D0,4,4.0
2/2,1,-2,major,Bb,major,D0,4,2.0
2/2,1,-2,major,Bb,major,D0,4,2.0
2/2,1,-2,major,Bb,major,D0,4,4.0
2/2,1,-2,major,Bb,major,D0,4,4.0
2/2,2,-2,major,Bb,major,Eb,4,4.0
2/2,2,-2,major,Bb,major,D0,4,4.0
2/2,2,-2,major,Bb,major,C0,4,4.0
2/2,2,-2,major,Bb,major,Bb,3,4.0
2/2,3,-2,major,C0,minor-seventh,C0,4,8.0
2/2,3,-2,major,C0,minor-seventh,G0,4,8.0
2/2,4,-2,major,C0,minor-seventh,G0,4,12.0
2/2,4,-2,major,C0,minor-seventh,rest,0,4.0
2/2,5,-2,major,F0,dominant,C0,4,4.0
2/2,5,-2,major,F0,dominant,C0,4,2.0
2/2,5,-2,major,F0,dominant,C0,4,2.0
2/2,5,-2,major,F0,dominant,C0,4,4.0
2/2,5,-2,major,F0,dominant,C0,4,4.0
2/2,6,-2,major,F0,dominant,D0,4,4.0
2/2,6,-2,major,F0,dominant,C0,4,4.0
2/2,6,-2,major,F0,dominant,Bb,3,4.0
2/2,6,-2,major,F0,dominant,A0,3,4.0
2/2,7,-2,major,Bb,major,Bb,3,8.0
2/2,7,-2,major,Bb,major,F0,4,8.0
2/2,8,-2,major,Bb,major,F0,4,12.0
2/2,8,-2,major,Bb,major,rest,0,4.0
2/2,9,-2,major,Bb,major,D0,4,4.0
2/2,9,-2,major,Bb,major,D0,4,2.0
2/2,9,-2,major,Bb,major,D0,4,2.0
2/2,9,-2,major,Bb,major,D0,4,4.0
2/2,9,-2,major,Bb,major,D0,4,4.0
2/2,10,-2,major,Bb,major,Eb,4,4.0
2/2,10,-2,major,Bb,major,D0,4,4.0
2/2,10,-2,major,Bb,major,C0,4,4.0
2/2,10,-2,major,Bb,major,Bb,3,4.0
2/2,11,-2,major,C0,minor-seventh,C0,4,8.0
2/2,11,-2,major,C0,minor-seventh,G0,4,8.0
2/2,12,-2,major,C0,minor-seventh,G0,4,12.0
2/2,12,-2,major,C0,minor-seventh,rest,0,4.0
2/2,13,-2,major,F0,dominant,C0,4,4.0
2/2,13,-2,major,F0,dominant,C0,4,4.0
2/2,13,-2,major,F0,dominant,C0,4,4.0
2/2,13,-2,major,F0,dominant,C0,4,4.0
2/2,14,-2,major,F0,dominant,D0,4,4.0
2/2,14,-2,major,F0,dominant,C0,4,4.0
2/2,14,-2,major,F0,dominant,Bb,3,2.0
2/2,14,-2,major,F0,dominant,Bb,3,2.0
2/2,14,-2,major,F0,dominant,A0,3,4.0
2/2,15,-2,major,Bb,major,Bb,3,16.0
2/2,16,-2,major,Bb,major,Bb,3,4.0
2/2,16,-2,major,Bb,major,Bb,3,4.0
2/2,16,-2,major,Bb,major,D0,4,4.0
2/2,16,-2,major,Bb,major,F0,4,4.0
2/2,17,-2,major,Bb,major,Bb,4,2.0
2/2,17,-2,major,Bb,major,Bb,4,2.0
2/2,17,-2,major,Bb,major,Bb,4,4.0
2/2,17,-2,major,Bb,major,Bb,4,4.0
2/2,17,-2,major,Bb,major,Bb,4,4.0
2/2,18,-2,major,Db,major,Ab,4,4.0
2/2,18,-2,major,Db,major,Ab,4,4.0
2/2,18,-2,major,Db,major,G0,4,2.0
2/2,18,-2,major,Db,major,F0,4,2.0
2/2,18,-2,major,Db,major,Eb,4,4.0
2/2,19,-2,major,Bb,major,F0,4,16.0
2/2,20,-2,major,Bb,major,F0,4,4.0
2/2,20,-2,major,Bb,major,Bb,3,4.0
2/2,20,-2,major,Bb,major,D0,4,4.0
2/2,20,-2,major,Bb,major,F0,4,4.0
2/2,21,-2,major,Ab,major,Ab,4,2.0
2/2,21,-2,major,Ab,major,Ab,4,2.0
2/2,21,-2,major,Ab,major,Ab,4,4.0
2/2,21,-2,major,Ab,major,Ab,4,4.0
2/2,21,-2,major,Ab,major,Ab,4,4.0
2/2,22,-2,major,Eb,major,G0,4,2.0
2/2,22,-2,major,Eb,major,G0,4,2.0
2/2,22,-2,major,Eb,major,G0,4,4.0
2/2,22,-2,major,Eb,major,G0,4,2.0
2/2,22,-2,major,Eb,major,F0,4,2.0
2/2,22,-2,major,Eb,major,Eb,4,4.0
2/2,23,-2,major,C0,minor-seventh,F0,4,16.0
2/2,24,-2,major,F0,dominant,F0,4,4.0
2/2,24,-2,major,F0,dominant,Bb,3,4.0
2/2,24,-2,major,F0,dominant,D0,4,4.0
2/2,24,-2,major,F0,dominant,F0,4,4.0
2/2,25,-2,major,Bb,major,Bb,4,4.0
2/2,25,-2,major,Bb,major,Bb,4,2.0
2/2,25,-2,major,Bb,major,Bb,4,2.0
2/2,25,-2,major,Bb,major,Bb,4,4.0
2/2,25,-2,major,Bb,major,Bb,4,2.0
2/2,25,-2,major,Bb,major,Bb,4,2.0
2/2,26,-2,major,Db,major,Ab,4,4.0
2/2,26,-2,major,Db,major,Ab,4,2.0
2/2,26,-2,major,Db,major,Ab,4,2.0
2/2,26,-2,major,Db,major,G0,4,2.66666666667
2/2,26,-2,major,Db,major,F0,4,2.66666666667
2/2,26,-2,major,Db,major,Eb,4,2.66666666667
2/2,27,-2,major,Bb,major,F0,4,16.0
2/2,28,-2,major,Bb,major,F0,4,4.0
2/2,28,-2,major,Bb,major,Bb,3,4.0
2/2,28,-2,major,Bb,major,D0,4,4.0
2/2,28,-2,major,Bb,major,F0,4,4.0
2/2,29,-2,major,Ab,major,Ab,4,2.0
2/2,29,-2,major,Ab,major,Ab,4,2.0
2/2,29,-2,major,Ab,major,Ab,4,4.0
2/2,29,-2,major,Ab,major,Ab,4,4.0
2/2,29,-2,major,Ab,major,Ab,4,4.0
2/2,30,-2,major,Eb,major,G0,4,4.0
2/2,30,-2,major,Eb,major,G0,4,4.0
2/2,30,-2,major,Eb,major,G0,4,2.0
2/2,30,-2,major,Eb,major,F0,4,2.0
2/2,30,-2,major,Eb,major,Eb,4,4.0
2/2,31,-2,major,C0,minor-seventh,F0,4,16.0
2/2,32,-2,major,F0,dominant,F0,4,4.0
2/2,32,-2,major,F0,dominant,C0,4,4.0
2/2,32,-2,major,F0,dominant,Eb,4,2.0
2/2,32,-2,major,F0,dominant,D0,4,2.0
2/2,32,-2,major,F0,dominant,C0,4,4.0
2/2,33,-2,major,Bb,major,Bb,3,16.0
2/2,34,-2,major,Bb,major,Bb,3,4.0
2/2,34,-2,major,Bb,major,rest,0,4.0
2/2,34,-2,major,Bb,major,rest,0,8.0
2/2,35,-2,major,Bb,major,rest,0,16.0
2/2,36,-2,major,Bb,major,rest,0,16.0
2/2,37,-2,major,Bb,major,rest,0,16.0
2/2,38,-2,major,F0,major,C0,4,8.0
2/2,38,-2,major,F0,major,F0,4,8.0
2/2,39,-2,major,G0,dominant,D0,4,8.0
2/2,39,-2,major,G0,dominant,F0,4,8.0
2/2,40,-2,major,C0,major,E0,4,8.0
2/2,40,-2,major,C0,major,G0,4,8.0
2/2,41,-2,major,F0,major,F0,4,8.0
2/2,41,-2,major,F0,major,A0,4,8.0
2/2,42,-2,major,D0,dominant,F0,4,8.0
2/2,42,-2,major,D0,dominant,A0,4,8.0
2/2,43,-2,major,G0,minor,G0,4,8.0
2/2,43,-2,major,G0,minor,Bb,4,8.0
2/2,44,-2,major,Eb,major,G0,4,8.0
2/2,44,-2,major,Eb,major,Bb,4,8.0
2/2,45,-2,major,C0,minor-seventh,F0,4,16.0
2/2,46,-2,major,C0,minor-seventh,F0,4,16.0
2/2,47,-2,major,C0,minor-seventh,rest,0,16.0
2/2,48,-2,major,F0,dominant,rest,0,4.0
2/2,48,-2,major,F0,dominant,Bb,3,4.0
2/2,48,-2,major,F0,dominant,D0,4,4.0
2/2,48,-2,major,F0,dominant,F0,4,4.0
2/2,49,-2,major,Bb,major,Bb,3,16.0
2/2,50,-2,major,C0,minor-seventh,Bb,3,4.0
2/2,50,-2,major,C0,minor-seventh,C0,4,4.0
2/2,50,-2,major,C0,minor-seventh,Eb,4,2.0
2/2,50,-2,major,C0,minor-seventh,D0,4,2.0
2/2,50,-2,major,C0,minor-seventh,C0,4,4.0
2/2,51,-2,major,Bb,major,Bb,3,16.0
2/2,52,-2,major,C0,minor-seventh,Bb,3,4.0
2/2,52,-2,major,C0,minor-seventh,F0,4,4.0
2/2,52,-2,major,C0,minor-seventh,Ab,4,2.0
2/2,52,-2,major,C0,minor-seventh,F0,4,2.0
2/2,52,-2,major,C0,minor-seventh,Ab,4,4.0
2/2,53,-2,major,Bb,major,Bb,4,16.0
2/2,54,-2,major,Bb,major,Bb,4,16.0
