time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,4,major,E0,major,rest,0,2.0
4/4,1,4,major,E0,major,E0,4,2.0
4/4,1,4,major,E0,major,E0,4,2.0
4/4,1,4,major,E0,major,F#,4,2.0
4/4,1,4,major,E0,major,G#,4,2.0
4/4,1,4,major,E0,major,E0,4,2.0
4/4,1,4,major,E0,major,A0,4,2.0
4/4,1,4,major,E0,major,G#,4,2.0
4/4,2,4,major,B0,dominant,F#,4,16.0
4/4,3,4,major,B0,dominant,rest,0,2.0
4/4,3,4,major,B0,dominant,D#,4,2.0
4/4,3,4,major,B0,dominant,D#,4,2.0
4/4,3,4,major,B0,dominant,E0,4,2.0
4/4,3,4,major,B0,dominant,F#,4,2.0
4/4,3,4,major,B0,dominant,E0,4,2.0
4/4,3,4,major,B0,dominant,G#,4,2.0
4/4,3,4,major,B0,dominant,F#,4,2.0
4/4,4,4,major,E0,major,E0,4,16.0
4/4,5,4,major,B0,dominant,B0,3,16.0
4/4,6,4,major,E0,major,G#,3,2.0
4/4,6,4,major,E0,major,A0,3,2.0
4/4,6,4,major,E0,major,G#,3,2.0
4/4,6,4,major,E0,major,B0,3,2.0
4/4,6,4,major,E0,major,B0,3,6.0
4/4,6,4,major,E0,major,E0,4,2.0
4/4,7,4,major,E0,major,G#,4,2.0
4/4,7,4,major,E0,major,F#,4,2.0
4/4,7,4,major,E0,major,E0,4,2.0
4/4,7,4,major,E0,major,B0,3,2.0
4/4,7,4,major,E0,major,B0,3,8.0
4/4,8,4,major,E0,major,B0,3,2.0
4/4,8,4,major,E0,major,B0,3,2.0
4/4,8,4,major,E0,major,B0,3,2.0
4/4,8,4,major,E0,major,B0,3,2.0
4/4,8,4,major,E0,major,B0,3,2.0
4/4,8,4,major,E0,major,A0,3,2.0
4/4,8,4,major,E0,major,G#,3,4.0
4/4,9,4,major,B0,dominant,A0,3,6.0
4/4,9,4,major,B0,dominant,F#,3,2.0
4/4,9,4,major,B0,dominant,F#,3,8.0
4/4,10,4,major,F#,minor,C#,4,2.0
4/4,10,4,major,F#,minor,D#,4,2.0
4/4,10,4,major,F#,minor,C#,4,2.0
4/4,10,4,major,F#,minor,F#,4,2.0
4/4,10,4,major,F#,minor,F#,4,4.0
4/4,10,4,major,F#,minor,F#,4,2.0
4/4,10,4,major,F#,minor,G#,4,2.0
4/4,11,4,major,F#,minor,A0,4,2.0
4/4,11,4,major,F#,minor,G#,4,2.0
4/4,11,4,major,F#,minor,F#,4,2.0
4/4,11,4,major,F#,minor,C#,4,2.0
4/4,11,4,major,F#,minor,C#,4,8.0
4/4,12,4,major,B0,dominant,D#,4,2.0
4/4,12,4,major,B0,dominant,D#,4,2.0
4/4,12,4,major,B0,dominant,D#,4,2.0
