time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
6/8,1,0,major,C0,major,G0,4,2.0
6/8,1,0,major,C0,major,G0,4,2.0
6/8,1,0,major,C0,major,G0,4,2.0
6/8,1,0,major,C0,major,C0,5,2.0
6/8,1,0,major,C0,major,C0,5,2.0
6/8,1,0,major,C0,major,C0,5,2.0
6/8,2,0,major,F0,major,A0,4,4.0
6/8,2,0,major,F0,major,F0,4,4.0
6/8,2,0,major,F0,major,C0,4,4.0
6/8,3,0,major,C0,major,G0,4,2.0
6/8,3,0,major,C0,major,G0,4,2.0
6/8,3,0,major,C0,major,G0,4,2.0
6/8,3,0,major,C0,major,C0,5,2.0
6/8,3,0,major,C0,major,C0,5,2.0
6/8,3,0,major,C0,major,C0,5,2.0
6/8,4,0,major,G0,major,D0,5,4.0
6/8,4,0,major,G0,major,B0,4,4.0
6/8,4,0,major,G0,major,G0,4,4.0
6/8,5,0,major,C0,minor-seventh,Bb,4,2.0
6/8,5,0,major,C0,minor-seventh,Bb,4,2.0
6/8,5,0,major,C0,minor-seventh,Bb,4,2.0
6/8,5,0,major,C0,minor-seventh,Eb,5,2.0
6/8,5,0,major,C0,minor-seventh,Eb,5,2.0
6/8,5,0,major,C0,minor-seventh,Eb,5,2.0
6/8,6,0,major,Bb,major,D0,5,4.0
6/8,6,0,major,Bb,major,Bb,4,4.0
6/8,6,0,major,Bb,major,F0,4,4.0
6/8,7,0,major,Ab,major,Eb,4,2.0
6/8,7,0,major,Ab,major,Eb,4,2.0
6/8,7,0,major,Ab,major,Eb,4,2.0
6/8,7,0,major,Ab,major,Ab,4,2.0
6/8,7,0,major,Ab,major,Ab,4,2.0
6/8,7,0,major,Ab,major,Ab,4,2.0
6/8,8,0,major,C0,major,G0,4,4.0
6/8,8,0,major,C0,major,E0,5,4.0
6/8,8,0,major,C0,major,C0,4,4.0
6/8,9,0,major,C0,major,C0,4,12.0
6/8,10,0,major,C0,major,C0,4,12.0
6/8,11,0,major,C0,major,E0,4,2.0
6/8,11,0,major,C0,major,A0,4,2.0
6/8,11,0,major,C0,major,G0,4,2.0
6/8,11,0,major,C0,major,E0,4,2.0
6/8,11,0,major,C0,major,A0,4,2.0
6/8,11,0,major,C0,major,G0,4,2.0
6/8,12,0,major,C0,major,E0,4,4.0
6/8,12,0,major,C0,major,G0,4,2.0
6/8,12,0,major,C0,major,C0,4,6.0
6/8,13,0,major,C0,major,E0,4,2.0
6/8,13,0,major,C0,major,A0,4,2.0
6/8,13,0,major,C0,major,G0,4,2.0
6/8,13,0,major,C0,major,C0,5,2.0
6/8,13,0,major,C0,major,A0,4,2.0
6/8,13,0,major,C0,major,G0,4,2.0
6/8,14,0,major,G0,dominant,B0,4,4.0
6/8,14,0,major,G0,dominant,B0,4,2.0
6/8,14,0,major,G0,dominant,A0,4,6.0
6/8,15,0,major,G0,dominant,rest,0,12.0
6/8,16,0,major,D0,minor-seventh,A0,4,2.0
6/8,16,0,major,D0,minor-seventh,D0,5,2.0
6/8,16,0,major,D0,minor-seventh,C0,5,2.0
6/8,16,0,major,D0,minor-seventh,A0,4,2.0
6/8,16,0,major,D0,minor-seventh,D0,5,2.0
6/8,16,0,major,D0,minor-seventh,C0,5,2.0
6/8,17,0,major,G0,major,A0,4,4.0
6/8,17,0,major,G0,major,A0,4,2.0
6/8,17,0,major,G0,major,F0,4,6.0
6/8,18,0,major,D0,minor-seventh,A0,4,2.0
6/8,18,0,major,D0,minor-seventh,D0,5,2.0
6/8,18,0,major,D0,minor-seventh,C0,5,2.0
6/8,18,0,major,D0,minor-seventh,F0,5,2.0
6/8,18,0,major,D0,minor-seventh,D0,5,2.0
6/8,18,0,major,D0,minor-seventh,C0,5,2.0
6/8,19,0,major,G0,major,B0,4,4.0
6/8,19,0,major,G0,major,B0,4,2.0
6/8,19,0,major,G0,major,G0,4,6.0
