time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
2/2,1,-3,major,Eb,major-ninth,rest,0,16.0
2/2,2,-3,major,C0,minor-seventh,rest,0,8.0
2/2,2,-3,major,C0,minor-seventh,rest,0,8.0
2/2,3,-3,major,Ab,major,rest,0,16.0
2/2,4,-3,major,F0,minor-seventh,rest,0,8.0
2/2,4,-3,major,F0,minor-seventh,rest,0,8.0
2/2,5,-3,major,Eb,major-ninth,rest,0,16.0
2/2,6,-3,major,C0,minor-seventh,rest,0,8.0
2/2,6,-3,major,C0,minor-seventh,rest,0,8.0
2/2,7,-3,major,Ab,major,rest,0,16.0
2/2,8,-3,major,F0,minor-seventh,rest,0,8.0
2/2,8,-3,major,F0,minor-seventh,rest,0,4.0
2/2,8,-3,major,F0,minor-seventh,G0,4,2.0
2/2,8,-3,major,F0,minor-seventh,Bb,4,2.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,4.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,4.0
2/2,9,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,10,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,10,-3,major,C0,minor-seventh,G0,4,6.0
2/2,10,-3,major,C0,minor-seventh,G0,4,4.0
2/2,10,-3,major,C0,minor-seventh,rest,0,4.0
2/2,11,-3,major,Ab,major,Bb,4,4.0
2/2,11,-3,major,Ab,major,Bb,4,2.0
2/2,11,-3,major,Ab,major,Bb,4,2.0
2/2,11,-3,major,Ab,major,Bb,4,2.0
2/2,11,-3,major,Ab,major,C0,5,4.0
2/2,11,-3,major,Ab,major,Eb,4,2.0
2/2,12,-3,major,Ab,major,Eb,4,12.0
2/2,12,-3,major,Ab,major,rest,0,2.0
2/2,12,-3,major,Ab,major,Bb,4,2.0
2/2,13,-3,major,C0,minor-seventh,Bb,4,4.0
2/2,13,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,13,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,13,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,13,-3,major,C0,minor-seventh,Bb,4,4.0
2/2,13,-3,major,C0,minor-seventh,Bb,4,2.0
2/2,14,-3,major,Eb,major,Bb,4,2.0
2/2,14,-3,major,Eb,major,G0,4,6.0
2/2,14,-3,major,Eb,major,rest,0,4.0
2/2,14,-3,major,Eb,major,F0,4,2.0
2/2,14,-3,major,Eb,major,G0,4,2.0
2/2,15,-3,major,Ab,major,Ab,4,4.0
2/2,15,-3,major,Ab,major,G0,4,2.0
2/2,15,-3,major,Ab,major,F0,4,2.0
2/2,15,-3,major,Ab,major,F0,4,4.0
2/2,15,-3,major,Ab,major,Eb,4,2.0
2/2,15,-3,major,Ab,major,Eb,4,2.0
2/2,16,-3,major,Eb,major,Eb,4,8.0
2/2,16,-3,major,Eb,major,rest,0,6.0
