time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-3,major,Eb,major,G0,4,4.0
3/4,1,-3,major,Eb,major,G0,4,8.0
3/4,2,-3,major,C0,diminished,G0,4,4.0
3/4,2,-3,major,C0,diminished,G0,4,8.0
3/4,3,-3,major,F0,minor,Ab,4,4.0
3/4,3,-3,major,F0,minor,C0,4,4.0
3/4,3,-3,major,F0,minor,Ab,4,4.0
3/4,4,-3,major,Bb,dominant,G0,4,12.0
3/4,5,-3,major,F0,minor,Ab,4,4.0
3/4,5,-3,major,F0,minor,C0,4,4.0
3/4,5,-3,major,F0,minor,Ab,4,4.0
3/4,6,-3,major,Bb,dominant,G0,4,8.0
3/4,6,-3,major,Bb,dominant,F#,4,4.0
3/4,7,-3,major,Eb,major,G0,4,12.0
3/4,8,-3,major,Eb,major,G0,4,8.0
3/4,8,-3,major,Eb,major,rest,0,4.0
3/4,9,-3,major,Eb,major,G0,4,4.0
3/4,9,-3,major,Eb,major,G0,4,8.0
3/4,10,-3,major,C0,diminished,G0,4,4.0
3/4,10,-3,major,C0,diminished,G0,4,8.0
3/4,11,-3,major,Bb,major,Bb,4,4.0
3/4,11,-3,major,Bb,major,D0,4,4.0
3/4,11,-3,major,Bb,major,G0,4,4.0
3/4,12,-3,major,C0,diminished,F0,4,12.0
3/4,13,-3,major,C0,minor,F0,4,4.0
3/4,13,-3,major,C0,minor,F0,4,4.0
3/4,13,-3,major,C0,minor,F0,4,4.0
3/4,14,-3,major,F0,dominant,G0,4,8.0
3/4,14,-3,major,F0,dominant,Eb,4,4.0
3/4,15,-3,major,Bb,dominant,Bb,4,12.0
3/4,16,-3,major,C0,diminished,Bb,4,8.0
3/4,16,-3,major,C0,diminished,Bb,3,4.0
3/4,17,-3,major,Eb,major-seventh,Bb,4,6.0
3/4,17,-3,major,Eb,major-seventh,A0,4,2.0
3/4,17,-3,major,Eb,major-seventh,C0,5,2.0
3/4,17,-3,major,Eb,major-seventh,Bb,4,2.0
3/4,18,-3,major,G0,dominant,D0,4,8.0
3/4,18,-3,major,G0,dominant,Eb,4,4.0
3/4,19,-3,major,C0,minor-seventh,G0,4,8.0
3/4,19,-3,major,C0,minor-seventh,Gb,4,4.0
3/4,20,-3,major,F0,dominant,F0,4,8.0
3/4,20,-3,major,F0,dominant,F0,4,4.0
3/4,21,-3,major,F0,minor-seventh,C0,5,6.0
3/4,21,-3,major,F0,minor-seventh,Cb,5,2.0
3/4,21,-3,major,F0,minor-seventh,Bb,4,2.0
3/4,21,-3,major,F0,minor-seventh,A0,4,2.0
3/4,22,-3,major,Bb,dominant,Ab,4,8.0
3/4,22,-3,major,Bb,dominant,F#,4,4.0
3/4,23,-3,major,Eb,major-seventh,G0,4,12.0
3/4,24,-3,major,Eb,major-seventh,G0,4,8.0
3/4,24,-3,major,Eb,major-seventh,Eb,4,4.0
3/4,25,-3,major,Eb,major-seventh,D0,4,6.0
3/4,25,-3,major,Eb,major-seventh,Eb,4,2.0
3/4,25,-3,major,Eb,major-seventh,D0,4,2.0
3/4,25,-3,major,Eb,major-seventh,C0,4,2.0
3/4,26,-3,major,F#,diminished-seventh,D0,4,6.0
3/4,26,-3,major,F#,diminished-seventh,Eb,4,2.0
3/4,26,-3,major,F#,diminished-seventh,D0,4,2.0
3/4,26,-3,major,F#,diminished-seventh,C0,4,2.0
3/4,27,-3,major,F0,minor-seventh,Ab,4,8.0
3/4,27,-3,major,F0,minor-seventh,C0,4,4.0
3/4,28,-3,major,Bb,dominant,D0,4,12.0
3/4,29,-3,major,F0,minor-seventh,D0,4,6.0
3/4,29,-3,major,F0,minor-seventh,Eb,4,2.0
3/4,29,-3,major,F0,minor-seventh,D0,4,2.0
3/4,29,-3,major,F0,minor-seventh,C0,4,2.0
3/4,30,-3,major,Bb,dominant,D0,4,6.0
3/4,30,-3,major,Bb,dominant,Eb,4,2.0
3/4,30,-3,major,Bb,dominant,E0,4,2.0
3/4,30,-3,major,Bb,dominant,F0,4,2.0
3/4,31,-3,major,F0,minor-seventh,C0,5,8.0
3/4,31,-3,major,F0,minor-seventh,F#,4,4.0
3/4,32,-3,major,Eb,major-seventh,G0,4,8.0
3/4,32,-3,major,Eb,major-seventh,Bb,3,4.0
3/4,33,-3,major,Eb,major-seventh,Bb,4,6.0
3/4,33,-3,major,Eb,major-seventh,A0,4,2.0
3/4,33,-3,major,Eb,major-seventh,C0,5,2.0
3/4,33,-3,major,Eb,major-seventh,Bb,4,2.0
3/4,34,-3,major,G0,dominant,D0,4,8.0
3/4,34,-3,major,G0,dominant,Eb,4,4.0
3/4,35,-3,major,C0,minor-seventh,G0,4,8.0
3/4,35,-3,major,C0,minor-seventh,Gb,4,4.0
3/4,36,-3,major,F0,dominant,F0,4,8.0
3/4,36,-3,major,F0,dominant,F0,4,4.0
3/4,37,-3,major,F0,minor-seventh,C0,5,6.0
3/4,37,-3,major,F0,minor-seventh,Cb,5,2.0
3/4,37,-3,major,F0,minor-seventh,Bb,4,2.0
3/4,37,-3,major,F0,minor-seventh,A0,4,2.0
3/4,38,-3,major,Bb,dominant,Ab,4,8.0
3/4,38,-3,major,Bb,dominant,F#,4,4.0
3/4,39,-3,major,G0,,G0,4,12.0
3/4,40,-3,major,G0,,G0,4,8.0
3/4,40,-3,major,G0,,G0,4,4.0
3/4,41,-3,major,Ab,major-seventh,F0,4,6.0
3/4,41,-3,major,Ab,major-seventh,F0,4,2.0
3/4,41,-3,major,Ab,major-seventh,E0,4,2.0
3/4,41,-3,major,Ab,major-seventh,F0,4,2.0
3/4,42,-3,major,A0,diminished-seventh,D0,5,8.0
3/4,42,-3,major,A0,diminished-seventh,C0,5,4.0
3/4,43,-3,major,Eb,major-seventh,Eb,5,8.0
3/4,43,-3,major,Eb,major-seventh,D0,5,4.0
3/4,44,-3,major,C0,dominant,C0,5,8.0
3/4,44,-3,major,C0,dominant,G0,4,4.0
3/4,45,-3,major,F0,minor-seventh,Bb,4,6.0
3/4,45,-3,major,F0,minor-seventh,Ab,4,2.0
3/4,45,-3,major,F0,minor-seventh,C0,5,2.0
3/4,45,-3,major,F0,minor-seventh,Ab,4,2.0
3/4,46,-3,major,Bb,dominant,G0,4,8.0
3/4,46,-3,major,Bb,dominant,G0,4,4.0
3/4,47,-3,major,Eb,major-seventh,Eb,4,12.0
3/4,48,-3,major,F0,minor-seventh,Eb,4,8.0
3/4,48,-3,major,F0,minor-seventh,Bb,3,4.0
3/4,49,-3,major,Eb,major-seventh,Eb,4,12.0
3/4,50,-3,major,Eb,major-seventh,Eb,4,8.0
3/4,50,-3,major,Eb,major-seventh,rest,0,4.0
