time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,2,major,[],[],rest,0,4.0
4/4,1,2,major,[],[],C#,5,4.0
4/4,1,2,major,[],[],B0,4,4.0
4/4,1,2,major,[],[],A0,4,4.0
4/4,2,2,major,A0,major,E0,5,8.0
4/4,2,2,major,A0,major,F#,5,4.0
4/4,2,2,major,A0,major,B0,4,2.66666666667
4/4,2,2,major,A0,major,C#,5,1.33333333333
4/4,3,2,major,A0,major,C#,5,8.0
4/4,3,2,major,A0,major,rest,0,4.0
4/4,3,2,major,A0,major,rest,0,2.0
4/4,3,2,major,A0,major,F#,4,2.0
4/4,4,2,major,F#,minor,A0,4,4.0
4/4,4,2,major,F#,minor,A0,4,3.0
4/4,4,2,major,F#,minor,F#,4,1.0
4/4,4,2,major,F#,minor,A0,4,4.0
4/4,4,2,major,F#,minor,B0,4,2.66666666667
4/4,4,2,major,F#,minor,C#,5,1.33333333333
4/4,5,2,major,F#,minor,C#,5,4.0
4/4,5,2,major,F#,minor,C#,5,4.0
4/4,5,2,major,F#,minor,B0,4,4.0
4/4,5,2,major,F#,minor,A0,4,4.0
4/4,6,2,major,D0,major,C#,5,4.0
4/4,6,2,major,D0,major,B0,4,2.0
4/4,6,2,major,D0,major,B0,4,4.0
4/4,6,2,major,D0,major,A0,4,6.0
4/4,7,2,major,E0,major,C#,5,4.0
4/4,7,2,major,E0,major,B0,4,2.0
4/4,7,2,major,E0,major,B0,4,4.0
4/4,7,2,major,E0,major,A0,4,2.0
4/4,7,2,major,E0,major,E0,4,2.0
4/4,7,2,major,E0,major,F#,4,2.0
4/4,8,2,major,A0,major,A0,4,4.0
4/4,8,2,major,A0,major,F#,4,4.0
4/4,8,2,major,A0,major,C#,5,8.0
4/4,9,2,major,A0,major,B0,4,4.0
4/4,9,2,major,A0,major,C#,5,4.0
4/4,9,2,major,A0,major,B0,4,4.0
4/4,9,2,major,A0,major,A0,4,4.0
4/4,10,2,major,A0,major,B0,4,4.0
4/4,10,2,major,A0,major,A0,4,8.0
4/4,10,2,major,A0,major,A0,4,2.66666666667
4/4,10,2,major,A0,major,F#,4,1.33333333333
4/4,11,2,major,A0,major,A0,4,2.66666666667
4/4,11,2,major,A0,major,A0,4,1.33333333333
4/4,11,2,major,A0,major,A0,4,2.66666666667
4/4,11,2,major,A0,major,F#,4,1.33333333333
4/4,11,2,major,A0,major,A0,4,4.0
4/4,11,2,major,A0,major,A0,4,2.66666666667
4/4,11,2,major,A0,major,F#,4,1.33333333333
4/4,12,2,major,A0,major,A0,4,4.0
4/4,12,2,major,A0,major,A0,4,3.0
4/4,12,2,major,A0,major,F#,4,1.0
4/4,12,2,major,A0,major,A0,4,4.0
4/4,12,2,major,A0,major,B0,4,4.0
4/4,13,2,major,F#,minor,F#,4,3.0
4/4,13,2,major,F#,minor,F#,4,1.0
4/4,13,2,major,F#,minor,F#,4,2.66666666667
4/4,13,2,major,F#,minor,E0,4,1.33333333333
4/4,13,2,major,F#,minor,F#,4,4.0
4/4,13,2,major,F#,minor,rest,0,2.0
4/4,13,2,major,F#,minor,F#,4,2.0
4/4,14,2,major,F#,minor,F#,4,3.0
4/4,14,2,major,F#,minor,F#,4,1.0
4/4,14,2,major,F#,minor,F#,4,2.66666666667
4/4,14,2,major,F#,minor,E0,4,1.33333333333
4/4,14,2,major,F#,minor,F#,4,4.0
4/4,14,2,major,F#,minor,rest,0,2.0
4/4,14,2,major,F#,minor,C#,5,2.0
4/4,15,2,major,D0,major,B0,4,4.0
4/4,15,2,major,D0,major,A0,4,4.0
4/4,15,2,major,D0,major,F#,4,6.0
4/4,15,2,major,D0,major,A0,4,2.0
4/4,16,2,major,E0,major,A0,4,8.0
4/4,16,2,major,E0,major,B0,4,4.0
4/4,16,2,major,E0,major,B0,4,2.0
4/4,16,2,major,E0,major,B0,4,2.0
4/4,17,2,major,A0,major,B0,4,2.0
4/4,17,2,major,A0,major,A0,4,2.0
4/4,17,2,major,A0,major,A0,4,8.0
4/4,17,2,major,A0,major,rest,0,4.0
4/4,18,2,major,A0,major,rest,0,8.0
4/4,18,2,major,A0,major,rest,0,4.0
4/4,18,2,major,A0,major,rest,0,2.0
4/4,18,2,major,A0,major,F#,4,2.0
4/4,19,2,major,A0,major,A0,4,3.0
4/4,19,2,major,A0,major,A0,4,1.0
4/4,19,2,major,A0,major,A0,4,4.0
4/4,19,2,major,A0,major,A0,4,4.0
4/4,19,2,major,A0,major,rest,0,2.0
4/4,19,2,major,A0,major,A0,4,2.0
4/4,20,2,major,A0,major,A0,4,3.0
4/4,20,2,major,A0,major,A0,4,1.0
4/4,20,2,major,A0,major,A0,4,4.0
4/4,20,2,major,A0,major,A0,4,4.0
4/4,20,2,major,A0,major,B0,4,4.0
4/4,21,2,major,F#,minor,F#,4,3.0
4/4,21,2,major,F#,minor,F#,4,1.0
4/4,21,2,major,F#,minor,F#,4,3.0
4/4,21,2,major,F#,minor,E0,4,1.0
4/4,21,2,major,F#,minor,F#,4,4.0
4/4,21,2,major,F#,minor,F#,4,2.66666666667
4/4,21,2,major,F#,minor,F#,4,1.33333333333
4/4,22,2,major,F#,minor,F#,4,2.66666666667
4/4,22,2,major,F#,minor,F#,4,1.33333333333
4/4,22,2,major,F#,minor,F#,4,2.66666666667
4/4,22,2,major,F#,minor,E0,4,1.33333333333
4/4,22,2,major,F#,minor,F#,4,4.0
4/4,22,2,major,F#,minor,C#,5,2.66666666667
4/4,22,2,major,F#,minor,C#,5,1.33333333333
4/4,23,2,major,D0,major,B0,4,4.0
4/4,23,2,major,D0,major,A0,4,4.0
4/4,23,2,major,D0,major,F#,4,6.0
4/4,23,2,major,D0,major,A0,4,2.0
4/4,24,2,major,E0,major,A0,4,4.0
4/4,24,2,major,E0,major,G#,4,4.0
4/4,24,2,major,E0,major,B0,4,4.0
4/4,24,2,major,E0,major,B0,4,2.0
4/4,24,2,major,E0,major,B0,4,2.0
4/4,25,2,major,A0,major,B0,4,2.0
4/4,25,2,major,A0,major,A0,4,6.0
4/4,25,2,major,A0,major,rest,0,8.0
4/4,26,2,major,A0,major,rest,0,8.0
4/4,26,2,major,A0,major,rest,0,4.0
4/4,26,2,major,A0,major,A0,4,2.66666666667
4/4,26,2,major,A0,major,A0,4,1.33333333333
4/4,27,2,major,A0,major,F#,5,2.66666666667
4/4,27,2,major,A0,major,E0,5,1.33333333333
4/4,27,2,major,A0,major,E0,5,2.0
4/4,27,2,major,A0,major,F#,5,2.0
4/4,27,2,major,A0,major,C#,5,4.0
4/4,27,2,major,A0,major,B0,4,2.0
4/4,27,2,major,A0,major,A0,4,2.0
4/4,28,2,major,A0,major,F#,5,2.66666666667
4/4,28,2,major,A0,major,E0,5,1.33333333333
4/4,28,2,major,A0,major,E0,5,2.0
4/4,28,2,major,A0,major,F#,5,2.0
4/4,28,2,major,A0,major,C#,5,4.0
4/4,28,2,major,A0,major,B0,4,2.66666666667
4/4,28,2,major,A0,major,A0,4,1.33333333333
4/4,29,2,major,F#,minor,B0,4,2.66666666667
4/4,29,2,major,F#,minor,A0,4,1.33333333333
4/4,29,2,major,F#,minor,A0,4,2.0
4/4,29,2,major,F#,minor,B0,4,2.0
4/4,29,2,major,F#,minor,A0,4,4.0
4/4,29,2,major,F#,minor,A0,4,2.66666666667
4/4,29,2,major,F#,minor,B0,4,1.33333333333
4/4,30,2,major,F#,minor,B0,4,3.0
4/4,30,2,major,F#,minor,A0,4,1.0
4/4,30,2,major,F#,minor,A0,4,2.0
4/4,30,2,major,F#,minor,B0,4,2.0
4/4,30,2,major,F#,minor,A0,4,4.0
4/4,30,2,major,F#,minor,C#,5,4.0
4/4,31,2,major,D0,major,A0,4,12.0
4/4,31,2,major,D0,major,A0,4,4.0
4/4,32,2,major,E0,major,Ab,4,4.0
4/4,32,2,major,E0,major,Ab,4,4.0
4/4,32,2,major,E0,major,B0,4,3.0
4/4,32,2,major,E0,major,B0,4,1.0
4/4,32,2,major,E0,major,B0,4,4.0
4/4,33,2,major,A0,major,B0,4,6.0
4/4,33,2,major,A0,major,A0,4,2.0
4/4,33,2,major,A0,major,A0,4,8.0
