time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-1,major,F0,dominant,C0,5,2.0
4/4,1,-1,major,F0,dominant,C0,5,2.0
4/4,1,-1,major,F0,dominant,rest,0,4.0
4/4,1,-1,major,F0,dominant,rest,0,8.0
4/4,2,-1,major,Bb,dominant,C0,5,2.0
4/4,2,-1,major,Bb,dominant,C0,5,2.0
4/4,2,-1,major,Bb,dominant,rest,0,4.0
4/4,2,-1,major,Bb,dominant,C0,5,2.0
4/4,2,-1,major,Bb,dominant,C0,5,2.0
4/4,2,-1,major,Bb,dominant,rest,0,4.0
4/4,3,-1,major,F0,dominant,C0,5,6.0
4/4,3,-1,major,F0,dominant,F0,5,2.0
4/4,3,-1,major,F0,dominant,rest,0,8.0
4/4,4,-1,major,F0,dominant,rest,0,16.0
4/4,5,-1,major,Bb,dominant,C0,5,2.0
4/4,5,-1,major,Bb,dominant,C0,5,2.0
4/4,5,-1,major,Bb,dominant,rest,0,4.0
4/4,5,-1,major,Bb,dominant,rest,0,8.0
4/4,6,-1,major,Bb,dominant,C0,5,2.0
4/4,6,-1,major,Bb,dominant,C0,5,2.0
4/4,6,-1,major,Bb,dominant,rest,0,4.0
4/4,6,-1,major,Bb,dominant,C0,5,2.0
4/4,6,-1,major,Bb,dominant,C0,5,2.0
4/4,6,-1,major,Bb,dominant,rest,0,4.0
4/4,7,-1,major,F0,dominant,C0,5,6.0
4/4,7,-1,major,F0,dominant,F0,5,2.0
4/4,7,-1,major,F0,dominant,rest,0,8.0
4/4,8,-1,major,D0,dominant,rest,0,16.0
4/4,9,-1,major,G0,minor-seventh,C0,5,2.0
4/4,9,-1,major,G0,minor-seventh,C0,5,2.0
4/4,9,-1,major,G0,minor-seventh,rest,0,4.0
4/4,9,-1,major,G0,minor-seventh,rest,0,8.0
4/4,10,-1,major,C0,dominant,C0,5,2.0
4/4,10,-1,major,C0,dominant,C0,5,2.0
4/4,10,-1,major,C0,dominant,rest,0,4.0
4/4,10,-1,major,C0,dominant,C0,5,2.0
4/4,10,-1,major,C0,dominant,C0,5,2.0
4/4,10,-1,major,C0,dominant,rest,0,4.0
4/4,11,-1,major,F0,dominant,C0,5,6.0
4/4,11,-1,major,F0,dominant,F0,5,2.0
4/4,11,-1,major,F0,dominant,rest,0,8.0
4/4,12,-1,major,G0,minor-seventh,rest,0,16.0
4/4,13,-1,major,F0,major-seventh,rest,0,16.0
4/4,14,-1,major,E0,minor-seventh,rest,0,16.0
4/4,15,-1,major,D0,minor-seventh,rest,0,16.0
4/4,16,-1,major,C0,minor-seventh,rest,0,16.0
4/4,17,-1,major,Bb,major-seventh,rest,0,16.0
4/4,18,-1,major,Bb,minor-seventh,rest,0,16.0
4/4,19,-1,major,A0,minor-seventh,rest,0,16.0
4/4,20,-1,major,Ab,minor-seventh,rest,0,16.0
4/4,21,-1,major,G0,minor-seventh,rest,0,16.0
4/4,22,-1,major,C0,dominant,rest,0,16.0
4/4,23,-1,major,A0,minor-seventh,rest,0,16.0
4/4,24,-1,major,G0,minor-seventh,rest,0,16.0
4/4,25,-1,major,F0,dominant,C0,5,2.0
4/4,25,-1,major,F0,dominant,C0,5,2.0
4/4,25,-1,major,F0,dominant,rest,0,4.0
4/4,25,-1,major,F0,dominant,rest,0,8.0
4/4,26,-1,major,Bb,dominant,C0,5,2.0
4/4,26,-1,major,Bb,dominant,C0,5,2.0
4/4,26,-1,major,Bb,dominant,rest,0,4.0
4/4,26,-1,major,Bb,dominant,C0,5,2.0
4/4,26,-1,major,Bb,dominant,C0,5,2.0
4/4,26,-1,major,Bb,dominant,rest,0,4.0
4/4,27,-1,major,F0,dominant,C0,5,6.0
4/4,27,-1,major,F0,dominant,F0,5,2.0
4/4,27,-1,major,F0,dominant,rest,0,8.0
4/4,28,-1,major,F0,dominant,rest,0,16.0
4/4,29,-1,major,Bb,dominant,C0,5,2.0
4/4,29,-1,major,Bb,dominant,C0,5,2.0
4/4,29,-1,major,Bb,dominant,rest,0,4.0
4/4,29,-1,major,Bb,dominant,rest,0,8.0
4/4,30,-1,major,Bb,dominant,C0,5,2.0
4/4,30,-1,major,Bb,dominant,C0,5,2.0
4/4,30,-1,major,Bb,dominant,rest,0,4.0
4/4,30,-1,major,Bb,dominant,C0,5,2.0
4/4,30,-1,major,Bb,dominant,C0,5,2.0
4/4,30,-1,major,Bb,dominant,rest,0,4.0
4/4,31,-1,major,F0,dominant,C0,5,6.0
4/4,31,-1,major,F0,dominant,F0,5,2.0
4/4,31,-1,major,F0,dominant,rest,0,8.0
4/4,32,-1,major,D0,dominant,rest,0,16.0
4/4,33,-1,major,G0,minor-seventh,C0,5,2.0
4/4,33,-1,major,G0,minor-seventh,C0,5,2.0
4/4,33,-1,major,G0,minor-seventh,rest,0,4.0
4/4,33,-1,major,G0,minor-seventh,rest,0,8.0
4/4,34,-1,major,C0,dominant,C0,5,2.0
4/4,34,-1,major,C0,dominant,C0,5,2.0
4/4,34,-1,major,C0,dominant,rest,0,4.0
4/4,34,-1,major,C0,dominant,C0,5,2.0
4/4,34,-1,major,C0,dominant,C0,5,2.0
4/4,34,-1,major,C0,dominant,rest,0,4.0
4/4,35,-1,major,F0,dominant,C0,5,6.0
4/4,35,-1,major,F0,dominant,F0,5,2.0
4/4,35,-1,major,F0,dominant,rest,0,8.0
4/4,36,-1,major,G0,minor-seventh,rest,0,16.0
