time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
4/4,1,-3,major,G0,minor,G0,5,8.0
4/4,1,-3,major,G0,minor,G0,5,2.0
4/4,1,-3,major,G0,minor,D0,5,2.0
4/4,1,-3,major,G0,minor,D0,5,1.33333333333
4/4,1,-3,major,G0,minor,G0,5,1.33333333333
4/4,1,-3,major,G0,minor,D0,5,1.33333333333
4/4,2,-3,major,Ab,major,C0,5,12.0
4/4,2,-3,major,Ab,major,D0,5,2.0
4/4,2,-3,major,Ab,major,Eb,5,2.0
4/4,3,-3,major,Bb,dominant,F0,5,8.0
4/4,3,-3,major,Bb,dominant,F0,5,2.0
4/4,3,-3,major,Bb,dominant,D0,5,2.0
4/4,3,-3,major,Bb,dominant,D0,5,1.33333333333
4/4,3,-3,major,Bb,dominant,F0,5,1.33333333333
4/4,3,-3,major,Bb,dominant,D0,5,1.33333333333
4/4,4,-3,major,Eb,major,Bb,4,8.0
4/4,4,-3,major,Eb,major,Eb,4,4.0
4/4,4,-3,major,Eb,major,D0,4,4.0
4/4,5,-3,major,F0,minor-seventh,Ab,4,4.0
4/4,5,-3,major,F0,minor-seventh,Eb,5,4.0
4/4,5,-3,major,F0,minor-seventh,Eb,5,2.0
4/4,5,-3,major,F0,minor-seventh,Ab,4,2.0
4/4,5,-3,major,F0,minor-seventh,Ab,4,1.33333333333
4/4,5,-3,major,F0,minor-seventh,C0,5,1.33333333333
4/4,5,-3,major,F0,minor-seventh,Ab,4,1.33333333333
4/4,6,-3,major,Eb,major,G0,4,8.0
4/4,6,-3,major,Eb,major,G0,4,2.0
4/4,6,-3,major,Eb,major,Bb,4,2.0
4/4,6,-3,major,Eb,major,Eb,4,2.0
4/4,6,-3,major,Eb,major,G0,4,2.0
4/4,7,-3,major,Bb,dominant,Bb,4,12.0
4/4,7,-3,major,Bb,dominant,G0,4,4.0
4/4,8,-3,major,Eb,major,rest,0,8.0
4/4,8,-3,major,Eb,major,rest,0,4.0
4/4,8,-3,major,Eb,major,G0,4,3.0
4/4,8,-3,major,Eb,major,G0,4,1.0
4/4,9,-3,major,Eb,major,Bb,4,8.0
4/4,9,-3,major,Eb,major,Bb,4,2.0
4/4,9,-3,major,Eb,major,rest,0,2.0
4/4,9,-3,major,Eb,major,Bb,4,3.0
4/4,9,-3,major,Eb,major,Bb,4,1.0
4/4,10,-3,major,C0,minor,C0,5,8.0
4/4,10,-3,major,C0,minor,C0,5,2.0
4/4,10,-3,major,C0,minor,C0,5,2.0
4/4,10,-3,major,C0,minor,D0,5,2.0
4/4,10,-3,major,C0,minor,Eb,5,2.0
4/4,11,-3,major,G0,minor,D0,5,1.0
4/4,11,-3,major,G0,minor,C0,5,1.0
4/4,11,-3,major,G0,minor,Bb,4,1.0
4/4,11,-3,major,G0,minor,C0,5,1.0
4/4,11,-3,major,G0,minor,D0,5,3.0
4/4,11,-3,major,G0,minor,Bb,4,1.0
4/4,11,-3,major,G0,minor,D0,5,4.0
4/4,11,-3,major,G0,minor,D0,5,2.0
4/4,11,-3,major,G0,minor,rest,0,1.0
4/4,11,-3,major,G0,minor,D0,5,1.0
4/4,12,-3,major,Ab,major,C0,5,4.0
4/4,12,-3,major,Ab,major,C0,5,1.0
4/4,12,-3,major,Ab,major,Bb,4,1.0
4/4,12,-3,major,Ab,major,Ab,4,1.0
4/4,12,-3,major,Ab,major,Bb,4,1.0
4/4,12,-3,major,Ab,major,C0,5,2.0
4/4,12,-3,major,Ab,major,C0,5,2.0
4/4,12,-3,major,Ab,major,Eb,5,2.0
4/4,12,-3,major,Ab,major,C0,5,2.0
4/4,13,-3,major,Eb,major,Bb,4,1.0
4/4,13,-3,major,Eb,major,Ab,4,1.0
4/4,13,-3,major,Eb,major,G0,4,1.0
4/4,13,-3,major,Eb,major,Ab,4,1.0
4/4,13,-3,major,Eb,major,Bb,4,4.0
4/4,13,-3,major,Eb,major,rest,0,2.0
4/4,13,-3,major,Eb,major,Bb,4,2.0
4/4,13,-3,major,Eb,major,Ab,4,2.0
4/4,13,-3,major,Eb,major,G0,4,2.0
4/4,14,-3,major,F0,minor,Ab,4,6.0
4/4,14,-3,major,F0,minor,G0,4,2.0
4/4,14,-3,major,F0,minor,F0,4,2.0
4/4,14,-3,major,F0,minor,G0,4,2.0
4/4,14,-3,major,F0,minor,Ab,4,2.0
4/4,14,-3,major,F0,minor,Bb,4,2.0
4/4,15,-3,major,Eb,major,G0,4,1.0
4/4,15,-3,major,Eb,major,F0,4,1.0
4/4,15,-3,major,Eb,major,Eb,4,1.0
4/4,15,-3,major,Eb,major,F0,4,1.0
4/4,15,-3,major,Eb,major,G0,4,2.0
4/4,15,-3,major,Eb,major,G0,4,2.0
4/4,15,-3,major,Eb,major,F0,4,6.0
4/4,15,-3,major,Eb,major,Eb,4,2.0
4/4,16,-3,major,Eb,major,Eb,4,4.0
4/4,16,-3,major,Eb,major,rest,0,2.0
4/4,16,-3,major,Eb,major,G0,4,1.0
4/4,16,-3,major,Eb,major,G0,4,1.0
4/4,16,-3,major,Eb,major,Bb,4,4.0
4/4,16,-3,major,Eb,major,rest,0,2.0
4/4,16,-3,major,Eb,major,Bb,4,1.0
4/4,16,-3,major,Eb,major,Bb,4,1.0
4/4,17,-3,major,D0,dominant,D0,5,2.0
4/4,17,-3,major,D0,dominant,C0,5,2.0
4/4,17,-3,major,D0,dominant,C0,5,2.0
4/4,17,-3,major,D0,dominant,D0,5,2.0
4/4,17,-3,major,D0,dominant,Bb,4,1.0
4/4,17,-3,major,D0,dominant,C0,5,1.0
4/4,17,-3,major,D0,dominant,D0,5,2.0
4/4,17,-3,major,D0,dominant,rest,0,2.0
4/4,17,-3,major,D0,dominant,D0,5,1.0
4/4,17,-3,major,D0,dominant,D0,5,1.0
4/4,18,-3,major,Ab,major-sixth,F0,5,2.0
4/4,18,-3,major,Ab,major-sixth,Eb,5,2.0
4/4,18,-3,major,Ab,major-sixth,Eb,5,2.0
4/4,18,-3,major,Ab,major-sixth,F0,5,2.0
4/4,18,-3,major,Ab,major-sixth,D0,5,1.0
4/4,18,-3,major,Ab,major-sixth,Eb,5,1.0
4/4,18,-3,major,Ab,major-sixth,F0,5,2.0
4/4,18,-3,major,Ab,major-sixth,F0,5,4.0
4/4,19,-3,major,C0,minor,Eb,5,4.0
4/4,19,-3,major,C0,minor,F0,5,2.0
4/4,19,-3,major,C0,minor,G0,5,2.0
4/4,19,-3,major,C0,minor,F0,5,2.0
4/4,19,-3,major,C0,minor,Eb,5,2.0
4/4,19,-3,major,C0,minor,D0,5,1.0
4/4,19,-3,major,C0,minor,C0,5,1.0
4/4,19,-3,major,C0,minor,B0,4,1.0
4/4,19,-3,major,C0,minor,C0,5,1.0
4/4,20,-3,major,Ab,major,Eb,5,4.0
4/4,20,-3,major,Ab,major,Eb,5,4.0
4/4,20,-3,major,Ab,major,rest,0,2.0
4/4,20,-3,major,Ab,major,Eb,5,2.0
4/4,20,-3,major,Ab,major,D0,5,1.0
4/4,20,-3,major,Ab,major,C0,5,1.0
4/4,20,-3,major,Ab,major,Bb,4,1.0
4/4,20,-3,major,Ab,major,Ab,4,1.0
4/4,21,-3,major,Eb,major,G0,4,1.0
4/4,21,-3,major,Eb,major,G0,4,1.0
4/4,21,-3,major,Eb,major,Ab,4,1.0
4/4,21,-3,major,Eb,major,Bb,4,1.0
4/4,21,-3,major,Eb,major,G0,4,4.0
4/4,21,-3,major,Eb,major,Bb,4,8.0
4/4,22,-3,major,Eb,major,Bb,4,8.0
4/4,22,-3,major,Eb,major,Bb,4,2.0
4/4,22,-3,major,Eb,major,rest,0,2.0
4/4,22,-3,major,Eb,major,rest,0,4.0
4/4,23,-3,major,G0,minor,G0,5,8.0
4/4,23,-3,major,G0,minor,G0,5,2.0
4/4,23,-3,major,G0,minor,D0,5,2.0
4/4,23,-3,major,G0,minor,D0,5,1.33333333333
4/4,23,-3,major,G0,minor,G0,5,1.33333333333
4/4,23,-3,major,G0,minor,D0,5,1.33333333333
4/4,24,-3,major,Ab,major,D0,5,1.0
4/4,24,-3,major,Ab,major,G0,5,1.0
4/4,24,-3,major,Ab,major,D0,5,1.0
4/4,24,-3,major,Ab,major,C0,5,1.0
4/4,24,-3,major,Ab,major,C0,5,4.0
4/4,24,-3,major,Ab,major,rest,0,4.0
4/4,24,-3,major,Ab,major,D0,5,2.0
4/4,24,-3,major,Ab,major,Eb,5,2.0
4/4,25,-3,major,Bb,dominant,F0,5,8.0
4/4,25,-3,major,Bb,dominant,F0,5,2.0
4/4,25,-3,major,Bb,dominant,D0,5,2.0
4/4,25,-3,major,Bb,dominant,D0,5,1.33333333333
4/4,25,-3,major,Bb,dominant,F0,5,1.33333333333
4/4,25,-3,major,Bb,dominant,D0,5,1.33333333333
4/4,26,-3,major,Eb,major,D0,5,1.0
4/4,26,-3,major,Eb,major,F0,5,1.0
4/4,26,-3,major,Eb,major,D0,5,1.0
4/4,26,-3,major,Eb,major,Bb,4,4.0
4/4,26,-3,major,Eb,major,Bb,4,1.0
