time,measure,key_fifths,key_mode,chord_root,chord_type,note_root,note_octave,note_duration
3/4,1,-1,major,F0,major,C0,5,6.0
3/4,1,-1,major,F0,major,D0,5,2.0
3/4,1,-1,major,F0,major,C0,5,2.0
3/4,1,-1,major,F0,major,Bb,4,2.0
3/4,2,-1,major,F0,major,A0,4,4.0
3/4,2,-1,major,F0,major,F0,4,4.0
3/4,2,-1,major,F0,major,F0,4,4.0
3/4,3,-1,major,C0,dominant,G0,4,4.0
3/4,3,-1,major,C0,dominant,C0,4,4.0
3/4,3,-1,major,C0,dominant,C0,4,4.0
3/4,4,-1,major,F0,major,A0,4,4.0
3/4,4,-1,major,F0,major,F0,4,4.0
3/4,4,-1,major,F0,major,F0,4,4.0
3/4,5,-1,major,F0,major,C0,5,6.0
3/4,5,-1,major,F0,major,D0,5,2.0
3/4,5,-1,major,F0,major,C0,5,2.0
3/4,5,-1,major,F0,major,Bb,4,2.0
3/4,6,-1,major,F0,major,A0,4,4.0
3/4,6,-1,major,F0,major,F0,4,4.0
3/4,6,-1,major,F0,major,F0,4,4.0
3/4,7,-1,major,C0,dominant,G0,4,4.0
3/4,7,-1,major,C0,dominant,C0,4,4.0
3/4,7,-1,major,C0,dominant,C0,4,4.0
3/4,8,-1,major,F0,major,F0,4,12.0
3/4,9,-1,major,C0,dominant,G0,4,4.0
3/4,9,-1,major,C0,dominant,C0,4,4.0
3/4,9,-1,major,C0,dominant,C0,4,4.0
3/4,10,-1,major,F0,major,A0,4,4.0
3/4,10,-1,major,F0,major,F0,4,4.0
3/4,10,-1,major,F0,major,F0,4,4.0
3/4,11,-1,major,C0,dominant,G0,4,4.0
3/4,11,-1,major,C0,dominant,C0,4,4.0
3/4,11,-1,major,C0,dominant,C0,4,4.0
3/4,12,-1,major,F0,major,A0,4,4.0
3/4,12,-1,major,F0,major,F0,4,4.0
3/4,12,-1,major,F0,major,F0,4,4.0
3/4,13,-1,major,F0,major,C0,5,6.0
3/4,13,-1,major,F0,major,D0,5,2.0
3/4,13,-1,major,F0,major,C0,5,2.0
3/4,13,-1,major,F0,major,Bb,4,2.0
3/4,14,-1,major,F0,major,A0,4,4.0
3/4,14,-1,major,F0,major,F0,4,4.0
3/4,14,-1,major,F0,major,F0,4,4.0
3/4,15,-1,major,C0,dominant,G0,4,4.0
3/4,15,-1,major,C0,dominant,C0,4,4.0
3/4,15,-1,major,C0,dominant,C0,4,4.0
3/4,16,-1,major,F0,major,F0,4,12.0
